,player_name,salary,team,position,draftking_score
92,Dennis Schroder,4700,HOU,"['PG', 'SG', 'G', 'UTIL']",25.237897872924805
93,CJ Elleby,4700,POR,"['SG', 'SF', 'F', 'G', 'UTIL']",21.48603057861328
94,Ayo Dosunmu,4600,CHI,"['PG', 'G', 'UTIL']",21.21877098083496
95,Monte Morris,4600,DEN,"['PG', 'G', 'UTIL']",24.56104850769043
97,Grayson Allen,4600,MIL,"['SG', 'SF', 'F', 'G', 'UTIL']",16.966917037963867
98,Brandon Clarke,4600,MEM,"['PF', 'C', 'F', 'UTIL']",20.97402000427246
99,Nicolas Claxton,4600,BKN,"['C', 'UTIL']",22.01059341430664
103,Pat Connaughton,4500,MIL,"['SF', 'PF', 'F', 'UTIL']",14.822782516479492
104,LaMarcus Aldridge,4500,BKN,"['PF', 'C', 'F', 'UTIL']",20.109567642211914
105,Damian Jones,4400,SAC,"['C', 'UTIL']",24.74625015258789
106,Moritz Wagner,4400,ORL,"['PF', 'C', 'F', 'UTIL']",20.488826751708984
108,Markelle Fultz,4300,ORL,"['PG', 'G', 'UTIL']",29.766584396362305
109,R.J. Hampton,4200,ORL,"['PG', 'SG', 'G', 'UTIL']",21.575454711914062
110,Jae'Sean Tate,4200,HOU,"['PF', 'F', 'UTIL']",21.676116943359375
111,Isaac Okoro,4100,CLE,"['SG', 'SF', 'F', 'G', 'UTIL']",20.471067428588867
113,Aaron Wiggins,4100,OKC,"['SF', 'F', 'UTIL']",24.13869857788086
114,Jevon Carter,4100,MIL,"['PG', 'SG', 'G', 'UTIL']",13.878183364868164
115,Max Strus,4100,MIA,"['SG', 'SF', 'F', 'G', 'UTIL']",20.060819625854492
116,T.J. McConnell,4100,IND,"['PG', 'G', 'UTIL']",21.232206344604492
117,Terry Taylor,4100,IND,"['PF', 'C', 'F', 'UTIL']",21.711645126342773
118,Rajon Rondo,4000,CLE,"['PG', 'G', 'UTIL']",19.246082305908203
119,Chimezie Metu,4000,SAC,"['PF', 'F', 'UTIL']",20.50469207763672
121,Ben McLemore,4000,POR,"['SG', 'G', 'UTIL']",21.451587677001953
122,Lamar Stevens,3900,CLE,"['SG', 'SF', 'F', 'G', 'UTIL']",22.715787887573242
123,Caleb Martin,3900,MIA,"['SF', 'F', 'UTIL']",19.07539176940918
124,Justin Holiday,3900,SAC,"['SG', 'G', 'UTIL']",14.998800277709961
125,Cedi Osman,3800,CLE,"['SG', 'SF', 'F', 'G', 'UTIL']",14.125978469848633
126,Theo Maledon,3800,OKC,"['PG', 'G', 'UTIL']",24.36155891418457
127,Richaun Holmes,3800,SAC,"['C', 'UTIL']",17.141357421875
129,Keon Johnson,3800,POR,"['SG', 'SF', 'F', 'G', 'UTIL']",22.11757469177246
131,John Konchar,3700,MEM,"['SG', 'SF', 'F', 'G', 'UTIL']",12.955032348632812
133,Duncan Robinson,3700,MIA,"['SG', 'G', 'UTIL']",14.842094421386719
135,Jeff Green,3600,DEN,"['SF', 'PF', 'F', 'UTIL']",18.694175720214844
136,Serge Ibaka,3600,MIL,"['PF', 'C', 'F', 'UTIL']",14.960517883300781
137,P.J. Tucker,3600,MIA,"['PF', 'F', 'UTIL']",19.73252296447754
138,Jeremy Lamb,3600,SAC,"['SF', 'F', 'UTIL']",15.136812210083008
140,Javonte Green,3500,CHI,"['SF', 'F', 'UTIL']",15.00531005859375
141,JaMychal Green,3500,DEN,"['PF', 'C', 'F', 'UTIL']",14.529023170471191
142,Ziaire Williams,3500,MEM,"['SF', 'F', 'UTIL']",15.937797546386719
143,Patty Mills,3500,BKN,"['PG', 'SG', 'G', 'UTIL']",15.550300598144531
144,Khem Birch,3500,TOR,"['C', 'UTIL']",13.769218444824219
145,KJ Martin,3500,HOU,"['PF', 'C', 'F', 'UTIL']",17.0172061920166
147,DeAndre' Bembry,3400,MIL,"['SG', 'G', 'UTIL']",12.84183120727539
148,Gabe Vincent,3400,MIA,"['PG', 'G', 'UTIL']",13.265348434448242
152,Duane Washington Jr.,3400,IND,"['SG', 'G', 'UTIL']",22.112892150878906
153,Dalano Banton,3400,TOR,"['PG', 'G', 'UTIL']",9.774320602416992
154,Eric Gordon,3400,HOU,"['SG', 'SF', 'F', 'G', 'UTIL']",19.276596069335938
155,Patrick Williams,3300,CHI,"['SF', 'PF', 'F', 'UTIL']",18.67253875732422
156,Bryn Forbes,3300,DEN,"['SG', 'G', 'UTIL']",10.550985336303711
158,Jordan Nwora,3300,MIL,"['SF', 'PF', 'F', 'UTIL']",14.581438064575195
159,Kessler Edwards,3300,BKN,"['PF', 'F', 'UTIL']",11.806419372558594
160,Terrence Ross,3300,ORL,"['SG', 'SF', 'F', 'G', 'UTIL']",14.198152542114258
162,Thaddeus Young,3300,TOR,"['PF', 'C', 'F', 'UTIL']",13.927711486816406
163,Josh Christopher,3300,HOU,"['SG', 'SF', 'F', 'G', 'UTIL']",20.82142448425293
164,Elijah Hughes,3300,POR,"['SF', 'F', 'UTIL']",11.307035446166992
165,Tristan Thompson,3200,CHI,"['C', 'UTIL']",14.96938705444336
166,Austin Rivers,3200,DEN,"['SG', 'SF', 'F', 'G', 'UTIL']",14.547586441040039
169,James Johnson,3200,BKN,"['PF', 'C', 'F', 'UTIL']",16.727956771850586
170,Admiral Schofield,3200,ORL,"['PF', 'F', 'UTIL']",11.80955982208252
171,Armoni Brooks,3200,TOR,"['PG', 'G', 'UTIL']",10.070976257324219
172,Garrison Mathews,3200,HOU,"['SF', 'F', 'UTIL']",15.742389678955078
175,Markieff Morris,3100,MIA,"['PF', 'C', 'F', 'UTIL']",15.017049789428711
176,Ignas Brazdeikis,3100,ORL,"['SF', 'PF', 'F', 'UTIL']",15.326589584350586
177,Bruno Fernando,3100,HOU,"['C', 'UTIL']",13.525337219238281
178,Mychal Mulder,3000,MIA,"['SG', 'G', 'UTIL']",11.542684555053711
181,Tacko Fall,3000,CLE,"['C', 'UTIL']",8.501592636108398
184,Dylan Windler,3000,CLE,"['SG', 'SF', 'F', 'G', 'UTIL']",9.74046516418457
185,Kevin Pangos,3000,CLE,"['PG', 'G', 'UTIL']",10.77767562866211
190,Moses Brown,3000,CLE,"['C', 'UTIL']",17.489398956298828
191,Troy Brown Jr.,3000,CHI,"['SF', 'PF', 'F', 'UTIL']",8.096256256103516
192,Derrick Jones Jr.,3000,CHI,"['SF', 'PF', 'F', 'UTIL']",13.30767822265625
194,Tyler Cook,3000,CHI,"['PF', 'C', 'F', 'UTIL']",10.820011138916016
195,Devon Dotson,3000,CHI,"['PG', 'SG', 'G', 'UTIL']",9.158342361450195
202,Tony Bradley,3000,CHI,"['C', 'UTIL']",7.900919437408447
207,Vlatko Cancar,3000,DEN,"['SF', 'F', 'UTIL']",11.340278625488281
208,Zeke Nnaji,3000,DEN,"['PF', 'C', 'F', 'UTIL']",16.541484832763672
209,Facundo Campazzo,3000,DEN,"['PG', 'G', 'UTIL']",11.172513961791992
210,Markus Howard,3000,DEN,"['PG', 'G', 'UTIL']",7.252662181854248
212,Davon Reed,3000,DEN,"['SF', 'F', 'UTIL']",12.272489547729492
220,Mamadi Diakite,3000,OKC,"['SF', 'PF', 'F', 'UTIL']",12.54145622253418
223,Paul Watson,3000,OKC,"['SF', 'F', 'UTIL']",13.977429389953613
225,KZ Okpala,3000,OKC,"['SF', 'F', 'UTIL']",13.270851135253906
227,Jeremiah Robinson-Earl,3000,OKC,"['PF', 'C', 'F', 'UTIL']",16.673776626586914
229,Gabriel Deck,3000,OKC,"['SF', 'F', 'UTIL']",12.544425964355469
238,Sam Merrill,3000,MEM,"['PG', 'SG', 'G', 'UTIL']",9.678220748901367
244,Jarrett Culver,3000,MEM,"['SG', 'SF', 'F', 'G', 'UTIL']",9.196218490600586
246,Shaquille Harrison,3000,MEM,"['SG', 'G', 'UTIL']",14.590787887573242
254,Langston Galloway,3000,MIL,"['SG', 'G', 'UTIL']",12.393148422241211
256,Sandro Mamukelashvili,3000,MIL,"['C', 'UTIL']",8.708495140075684
257,Thanasis Antetokounmpo,3000,MIL,"['SF', 'PF', 'F', 'UTIL']",9.009040832519531
260,Javonte Smart,3000,MIA,"['PG', 'G', 'UTIL']",10.588844299316406
262,Udonis Haslem,3000,MIA,"['C', 'UTIL']",8.762513160705566
263,Kyle Guy,3000,MIA,"['PG', 'G', 'UTIL']",7.909566402435303
264,Marcus Garrett,3000,MIA,"['PG', 'SG', 'G', 'UTIL']",10.258628845214844
265,Dewayne Dedmon,3000,MIA,"['C', 'UTIL']",16.101085662841797
268,Omer Yurtseven,3000,MIA,"['C', 'UTIL']",8.727699279785156
269,Chris Silva,3000,MIA,"['PF', 'F', 'UTIL']",10.348153114318848
270,David Duke Jr.,3000,BKN,"['PG', 'SF', 'F', 'G', 'UTIL']",10.691583633422852
272,Day'Ron Sharpe,3000,BKN,"['C', 'UTIL']",13.945514678955078
285,PJ Dozier,3000,ORL,"['PG', 'G', 'UTIL']",18.350675582885742
290,Gary Harris,3000,ORL,"['SG', 'SF', 'F', 'G', 'UTIL']",17.275693893432617
291,Robin Lopez,3000,ORL,"['C', 'UTIL']",13.820399284362793
294,Freddie Gillespie,3000,ORL,"['SF', 'PF', 'F', 'UTIL']",16.050756454467773
296,Louis King,3000,SAC,"['PF', 'F', 'UTIL']",13.570226669311523
298,Jahmi'us Ramsey,3000,SAC,"['SG', 'G', 'UTIL']",8.531298637390137
299,Neemias Queta,3000,SAC,"['C', 'UTIL']",9.494525909423828
300,Josh Jackson,3000,SAC,"['SG', 'SF', 'F', 'G', 'UTIL']",10.493180274963379
304,Justin Champagnie,3000,TOR,"['SF', 'PF', 'F', 'UTIL']",7.941333770751953
306,Svi Mykhailiuk,3000,TOR,"['SG', 'G', 'UTIL']",7.637470245361328
309,Daniel Oturu,3000,TOR,"['C', 'UTIL']",10.929969787597656
310,D.J. Wilson,3000,TOR,"['PF', 'F', 'UTIL']",17.730615615844727
313,Isaac Bonga,3000,TOR,"['SF', 'F', 'UTIL']",8.407361030578613
314,Juwan Morgan,3000,TOR,"['PF', 'F', 'UTIL']",8.456008911132812
317,Yuta Watanabe,3000,TOR,"['SG', 'SF', 'F', 'G', 'UTIL']",8.00495433807373
321,Keifer Sykes,3000,IND,"['PG', 'G', 'UTIL']",12.543817520141602
325,Reggie Perry,3000,IND,"['PF', 'F', 'UTIL']",13.05010986328125
330,Daishen Nix,3000,HOU,"['PG', 'G', 'UTIL']",12.597187042236328
332,Dennis Smith Jr.,3000,POR,"['PG', 'G', 'UTIL']",17.00362777709961
335,Keljin Blevins,3000,POR,"['SF', 'F', 'UTIL']",12.918182373046875
339,David Nwaba,3000,HOU,"['SF', 'F', 'UTIL']",11.113805770874023
344,Usman Garuba,3000,HOU,"['PF', 'C', 'F', 'UTIL']",12.721855163574219
