Minutes played,Field Goals Made,Field Goals Attempted,Field Goals 3 Points Made,Field Goal 3 Points Attempt,Free Throws Made,Free Throws Attempt,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Double-double,Triple-double,Draftkings next game score
36,10,22,3,9,7,10,1,5,2,1,0,5,2,30,0,0,24.0
35,7,21,3,9,2,2,1,3,4,0,0,3,3,19,0,0,86.5
36,11,23,2,7,6,6,0,6,8,2,1,4,2,30,0,0,41.25
34,14,21,4,6,4,4,0,3,4,0,0,1,3,36,0,0,19.25
37,5,17,3,6,0,0,2,1,5,0,1,2,1,13,0,0,23.5
34,8,15,0,1,3,3,0,4,1,0,0,1,1,19,0,0,53.25
37,7,17,3,5,8,11,0,1,9,1,0,3,3,25,0,0,38.5
35,5,21,2,9,5,6,1,7,2,2,0,3,2,17,0,0,55.0
36,8,18,3,6,8,8,1,3,8,1,0,5,2,27,0,0,65.5
33,11,18,3,8,9,10,0,6,7,1,2,5,2,34,0,0,53.25
36,9,22,2,6,8,8,0,3,7,1,0,1,1,28,0,0,103.25
42,12,27,4,9,6,6,0,7,5,4,0,3,2,34,0,0,24.5
39,6,18,0,2,7,8,0,4,4,0,1,3,1,19,0,0,32.0
32,10,17,2,5,5,6,1,3,5,0,0,2,4,27,0,0,32.75
29,11,17,2,5,5,5,0,3,6,0,0,2,1,29,0,0,30.0
35,9,21,1,5,5,6,0,6,6,0,0,4,3,24,0,0,28.25
26,6,13,3,5,2,2,1,6,5,0,1,2,3,17,0,0,34.75
35,11,22,4,9,1,1,1,6,5,0,0,6,3,27,0,0,40.0
31,10,20,1,5,3,4,1,5,3,1,0,2,3,24,0,0,34.75
40,4,17,2,7,4,8,1,2,6,1,0,4,3,14,0,0,21.0
35,5,11,1,4,8,8,0,2,4,0,0,2,1,19,0,0,48.25
27,6,7,0,0,0,0,2,1,2,0,3,2,4,12,0,0,19.0
18,2,3,0,0,0,0,1,3,1,2,2,0,4,4,0,0,12.0
19,4,5,0,0,0,2,1,1,1,0,1,1,5,8,0,0,20.0
20,5,5,0,0,3,5,3,1,1,0,1,0,3,13,0,0,8.75
12,1,1,0,0,3,4,3,0,2,0,0,0,0,5,0,0,24.0
14,1,1,0,0,0,2,0,0,3,2,2,0,0,2,0,0,9.25
12,1,3,0,0,0,0,1,0,1,1,2,2,4,2,0,0,4.5
14,1,2,0,0,0,0,0,2,0,1,0,0,4,2,0,0,9.75
11,3,4,0,0,0,0,1,2,0,0,0,0,3,6,0,0,11.0
17,2,3,0,0,2,2,1,3,0,0,0,0,0,6,0,0,9.0
11,0,0,0,0,4,4,0,2,1,1,0,1,5,4,0,0,19.5
23,6,8,0,0,0,1,1,3,1,1,0,1,2,12,0,0,17.5
19,3,3,0,0,2,3,3,3,1,0,1,0,2,8,0,0,3.25
14,0,1,0,0,0,0,0,1,3,0,1,0,2,0,0,0,15.75
18,1,1,0,0,0,0,2,3,2,1,1,1,3,2,0,0,12.75
18,1,2,0,0,3,4,3,2,0,0,1,1,3,5,0,0,20.75
22,1,1,0,0,0,0,1,6,1,1,4,2,3,2,0,0,12.75
23,2,5,0,0,1,2,1,2,1,0,2,0,2,5,0,0,18.0
21,2,2,0,0,0,0,0,0,3,1,3,2,2,4,0,0,4.25
10,0,1,0,0,0,0,0,1,1,1,0,0,3,0,0,0,20.0
21,5,6,0,0,3,4,3,3,1,0,0,1,3,13,0,0,10.5
16,2,2,0,0,0,0,1,3,0,0,1,1,2,4,0,0,1.5
11,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,15.25
20,3,7,0,0,3,4,3,2,2,0,0,0,2,9,0,0,6.0
11,2,2,0,0,0,0,0,0,0,0,1,0,3,4,0,0,3.0
6,1,1,0,0,1,2,0,0,0,1,0,0,4,3,0,0,6.75
8,1,1,1,1,0,0,1,0,0,1,1,0,1,3,0,0,9.0
